date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:56:59	94465/94465	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202022%2021:36:08%20GMT	https://apertcgo.com/images/ups.png	C:/My%20Web%20Sites/delivery/apertcgo.com/images/ups.png	(from https://apertcgo.com/)
19:56:59	9233/9233	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202022%2021:36:06%20GMT	https://apertcgo.com/images/comodo_secure_seal_113x59_transp.png	C:/My%20Web%20Sites/delivery/apertcgo.com/images/comodo_secure_seal_113x59_transp.png	(from https://apertcgo.com/)
19:56:59	258/258	---M--	200	added ('OK')	application/javascript	date:Mon,%2021%20Nov%202022%2021:36:08%20GMT	https://apertcgo.com/apert-js/popUp-initializer.js	C:/My%20Web%20Sites/delivery/apertcgo.com/apert-js/popUp-initializer.js	(from https://apertcgo.com/)
19:57:00	41730/41730	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2021%20Nov%202022%2021:36:08%20GMT	https://apertcgo.com/apert-js/jquery.magnific-popup.js	C:/My%20Web%20Sites/delivery/apertcgo.com/apert-js/jquery.magnific-popup.js	(from https://apertcgo.com/)
19:57:00	58075/58075	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202022%2021:36:08%20GMT	https://apertcgo.com/images/parcel_h.png	C:/My%20Web%20Sites/delivery/apertcgo.com/images/parcel_h.png	(from https://apertcgo.com/)
19:57:00	44342/44342	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2021%20Nov%202022%2021:36:08%20GMT	https://apertcgo.com/apert-js/owl.carousel.min.js	C:/My%20Web%20Sites/delivery/apertcgo.com/apert-js/owl.carousel.min.js	(from https://apertcgo.com/)
19:57:00	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Jan%202023%2019:57:02%20GMT	https://apertcgo.com/apert-css/owl.video.play.png	C:/My%20Web%20Sites/delivery/apertcgo.com/apert-css/owl.video.play.png	(from https://apertcgo.com/apert-css/owl.carousel.min.css)
19:57:01	50726/50726	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202022%2021:36:08%20GMT	https://apertcgo.com/images/team22.jpg	C:/My%20Web%20Sites/delivery/apertcgo.com/images/team22.jpg	(from https://apertcgo.com/apert-css/style.css)
19:57:01	56724/56724	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202022%2021:36:08%20GMT	https://apertcgo.com/images/newsletter.jpg	C:/My%20Web%20Sites/delivery/apertcgo.com/images/newsletter.jpg	(from https://apertcgo.com/apert-css/style.css)
19:57:01	50138/50138	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202022%2021:36:06%20GMT	https://apertcgo.com/images/contactus.jpg	C:/My%20Web%20Sites/delivery/apertcgo.com/images/contactus.jpg	(from https://apertcgo.com/apert-css/style.css)
19:57:02	41899/41899	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202022%2021:36:08%20GMT	https://apertcgo.com/images/whatsapp.png	C:/My%20Web%20Sites/delivery/apertcgo.com/images/whatsapp.png	(from https://apertcgo.com/apert-css/style.css)
19:57:02	64122/64122	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202022%2021:36:08%20GMT	https://apertcgo.com/images/ser4.jpg	C:/My%20Web%20Sites/delivery/apertcgo.com/images/ser4.jpg	(from https://apertcgo.com/apert-css/style.css)
19:57:03	88145/88145	---M--	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202019%2014:37:17%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	C:/My%20Web%20Sites/delivery/ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	(from https://apertcgo.com/about-us.php)
19:57:03	200207/200207	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202022%2021:36:06%20GMT	https://apertcgo.com/images/about.png	C:/My%20Web%20Sites/delivery/apertcgo.com/images/about.png	(from https://apertcgo.com/about-us.php)
19:57:03	38220/38220	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202022%2021:36:06%20GMT	https://apertcgo.com/images/abous-us-02.jpg	C:/My%20Web%20Sites/delivery/apertcgo.com/images/abous-us-02.jpg	(from https://apertcgo.com/about-us.php)
19:57:05	43789/43789	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202022%2021:36:06%20GMT	https://apertcgo.com/images/abous-us-03.jpg	C:/My%20Web%20Sites/delivery/apertcgo.com/images/abous-us-03.jpg	(from https://apertcgo.com/about-us.php)
19:57:05	195996/195996	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202022%2021:36:06%20GMT	https://apertcgo.com/images/abous-us-01.jpg	C:/My%20Web%20Sites/delivery/apertcgo.com/images/abous-us-01.jpg	(from https://apertcgo.com/about-us.php)
19:57:05	45384/45384	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202022%2021:36:06%20GMT	https://apertcgo.com/images/abous-us-04.jpg	C:/My%20Web%20Sites/delivery/apertcgo.com/images/abous-us-04.jpg	(from https://apertcgo.com/about-us.php)
19:57:05	43475/43475	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202022%2021:36:06%20GMT	https://apertcgo.com/images/contact_us.jpg	C:/My%20Web%20Sites/delivery/apertcgo.com/images/contact_us.jpg	(from https://apertcgo.com/contact.php)
19:57:06	23798/23798	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202022%2021:36:08%20GMT	https://apertcgo.com/images/faq.png	C:/My%20Web%20Sites/delivery/apertcgo.com/images/faq.png	(from https://apertcgo.com/faq.php)
